"Mercedes-Benz B-Класс W245 [рестайлинг] Хетчбэк , 2009",10500$,https://i.cars.kg/preview/r/Q00A2qfwhk4jLeTfnyw7yw/1080x-/20231127/a051166ffefdf3b5a3928082ad8dedc2.jpg,"Хэтчбек,
                                        белый,
                                        1.7 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        передний,"
"ВАЗ (Lada) 2107 1 поколение Седан , 2010",1$,https://i.cars.kg/preview/r/RKnDag0-juSsWaN7VUUN3g/1080x-/20231211/5ef72234e83012d8314dd9ee17f9c7a4.jpg,"Седан,
                                        зеленый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,"
"Honda Elysion 1 поколение [рестайлинг] Минивэн , 2008",12700$,https://i.cars.kg/preview/r/CuVPtU3jdsshiDqjcXponw/1080x-/20231211/cabfcef042cf1dcd7f50c7cec0465b34.jpg,"Минивэн / Бус,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus RX 3 поколение Кроссовер 5-дв. , 2009",20500$,https://i.cars.kg/preview/r/0N0XU1dHZXpIqMePgIfSPg/1080x-/20231211/1db6d93a80b58414375efe66419da6a4.jpg,"Кроссовер,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,"
"Geely MONJARO, 2023",30600$,https://i.cars.kg/preview/r/HKh6zgqcI6g_FHH_bz0yhQ/1080x-/20231211/8fea0a0a82204ac81a249d1e7c295396.jpg,"зеленый,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
,,,
,,,
,,,
,,,
,,,
,,,
"Hyundai Starex , 2018",27200$,https://i.cars.kg/preview/r/KSETTUdRDqGqVDntfcpEzA/1080x-/20230916/bbd418178d42526b68bfbce444e9c544.jpg,"Минивэн / Бус,
                                        серый,
                                                    левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,"
"Kia Morning , 2017",8800$,https://i.cars.kg/preview/r/3u5MT8DLpd933TMoF3GZ_g/1080x-/20231004/b066fd5897b22070288030a905b8f0fe.jpg,"Хэтчбек,
                                        красный,
                                        1.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,"
"Toyota Camry , 2018",19000$,https://i.cars.kg/preview/r/CZ-1i0fD65olwr4ExM2Kig/1080x-/20231115/451d0bdebd6c24c9e820b1c08bef02c1.jpeg,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,"
"Hyundai Sonata , 2018",18$,https://i.cars.kg/preview/r/nmXRDpG6Rc25DUta5WJPlw/1080x-/20231115/a624045a3068387bc93551c8f7617587.jpg,"Седан,
                                        серый,
                                        2.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        задний,"
"Mazda 626 GF Хетчбэк , 1997",5038$,https://i.cars.kg/preview/r/i_a1fU-KM4AhrWW1gphmBg/1080x-/20231204/4124ab2d411232a8811ecfec24932f43.jpg,"Хэтчбек,
                                        темно-синий,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,"
"Lexus ES 5 поколение [рестайлинг] Седан , 2010",17200$,https://i.cars.kg/preview/r/_BR8gs2VUM5cweFMlt1JVA/1080x-/20231112/d9305d08ee8d8b05b61369264ee24c20.jpeg,"Седан,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus ES 6 поколение Седан , 2013",21500$,https://i.cars.kg/preview/r/r7dng87clS6EE1L8bdYexA/1080x-/20231112/87242722e47fea35283bc4835e422e0c.jpeg,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,"
"Honda Accord 7 поколение Седан , 2005",8400$,https://i.cars.kg/preview/r/zOoBbgFHAmTadJ1ciLGd4A/1080x-/20231211/cdd3b978a80f9ab1130f7d3119963af8.jpeg,"Седан,"
"Toyota Mark II X100 Седан , 1996",5000$,https://i.cars.kg/preview/r/exjB-UULfmelfb9Rs4X2kg/1080x-/20231210/78d72f73bbbdcb4d61b90d3d9e382575.jpg,"Седан,
                                        белый жемчуг,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,"
"Mitsubishi Galant 8 поколение Седан , 2001",3918$,https://i.cars.kg/preview/r/YpTFElJ8-ffRzgXiw2v-8Q/1080x-/20231211/8f3fbbed446dac04f156ade7fb2eff68.jpg,"Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Kia Rio 3 поколение Седан 4-дв. , 2015",9400$,https://i.cars.kg/preview/r/ButMeypNhTcSqszkLk6gPQ/1080x-/20231121/3e4f99d20b569849cb9cf41f3f08bd70.jpeg,"Седан,
                                        мокрый асфальт,
                                        1.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus GX 2 поколение [рестайлинг] Внедорожник , 2014",45500$,https://i.cars.kg/preview/r/hV5u8xQ92ua5rY36Hu3Y1Q/1080x-/20231123/a5570b7b652ade61d185f18e9f6a678a.jpeg,"Внедорожник / Пикап,
                                        белый,
                                        4.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Hyundai Santa Fe DM Grand кроссовер 5-дв. , 2016",22000$,https://i.cars.kg/preview/r/SOIPCKeLgwF4xtuBx6qZXg/1080x-/20231124/4cadbe53b489af95b035e3206c2ab848.jpeg,"Кроссовер,
                                        темно-синий,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,"
"Toyota RAV4 , 2021",22861$,https://i.cars.kg/preview/r/gyzTumjq-dVxhlILB-3rug/1080x-/20231210/2b80af395091a8734c2aa9c3a13cf6bd.png,"Внедорожник / Пикап,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Toyota Camry , 2023",20880$,https://i.cars.kg/preview/r/WUGa936kq1P438gl8yRw-w/1080x-/20231210/aa425e5b8be46aab0208ff2955432f7c.png,"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Mercedes-Benz B-Класс W245 [рестайлинг] Хетчбэк , 2009",10500$,https://i.cars.kg/preview/r/Q00A2qfwhk4jLeTfnyw7yw/1080x-/20231127/a051166ffefdf3b5a3928082ad8dedc2.jpg,"Хэтчбек,
                                        белый,
                                        1.7 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        передний,"
"ВАЗ (Lada) 2107 1 поколение Седан , 2010",1$,https://i.cars.kg/preview/r/RKnDag0-juSsWaN7VUUN3g/1080x-/20231211/5ef72234e83012d8314dd9ee17f9c7a4.jpg,"Седан,
                                        зеленый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,"
"Honda Elysion 1 поколение [рестайлинг] Минивэн , 2008",12700$,https://i.cars.kg/preview/r/CuVPtU3jdsshiDqjcXponw/1080x-/20231211/cabfcef042cf1dcd7f50c7cec0465b34.jpg,"Минивэн / Бус,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus RX 3 поколение Кроссовер 5-дв. , 2009",20500$,https://i.cars.kg/preview/r/0N0XU1dHZXpIqMePgIfSPg/1080x-/20231211/1db6d93a80b58414375efe66419da6a4.jpg,"Кроссовер,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,"
"Geely MONJARO, 2023",30600$,https://i.cars.kg/preview/r/HKh6zgqcI6g_FHH_bz0yhQ/1080x-/20231211/8fea0a0a82204ac81a249d1e7c295396.jpg,"зеленый,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
,,,
,,,
,,,
,,,
,,,
,,,
"Hyundai Starex , 2018",27200$,https://i.cars.kg/preview/r/KSETTUdRDqGqVDntfcpEzA/1080x-/20230916/bbd418178d42526b68bfbce444e9c544.jpg,"Минивэн / Бус,
                                        серый,
                                                    левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,"
"Kia Morning , 2017",8800$,https://i.cars.kg/preview/r/3u5MT8DLpd933TMoF3GZ_g/1080x-/20231004/b066fd5897b22070288030a905b8f0fe.jpg,"Хэтчбек,
                                        красный,
                                        1.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,"
"Toyota Camry , 2018",19000$,https://i.cars.kg/preview/r/CZ-1i0fD65olwr4ExM2Kig/1080x-/20231115/451d0bdebd6c24c9e820b1c08bef02c1.jpeg,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,"
"Hyundai Sonata , 2018",18$,https://i.cars.kg/preview/r/nmXRDpG6Rc25DUta5WJPlw/1080x-/20231115/a624045a3068387bc93551c8f7617587.jpg,"Седан,
                                        серый,
                                        2.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        задний,"
"Mazda 626 GF Хетчбэк , 1997",5038$,https://i.cars.kg/preview/r/i_a1fU-KM4AhrWW1gphmBg/1080x-/20231204/4124ab2d411232a8811ecfec24932f43.jpg,"Хэтчбек,
                                        темно-синий,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,"
"Lexus ES 5 поколение [рестайлинг] Седан , 2010",17200$,https://i.cars.kg/preview/r/_BR8gs2VUM5cweFMlt1JVA/1080x-/20231112/d9305d08ee8d8b05b61369264ee24c20.jpeg,"Седан,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus ES 6 поколение Седан , 2013",21500$,https://i.cars.kg/preview/r/r7dng87clS6EE1L8bdYexA/1080x-/20231112/87242722e47fea35283bc4835e422e0c.jpeg,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,"
"Honda Accord 7 поколение Седан , 2005",8400$,https://i.cars.kg/preview/r/zOoBbgFHAmTadJ1ciLGd4A/1080x-/20231211/cdd3b978a80f9ab1130f7d3119963af8.jpeg,"Седан,"
"Toyota Mark II X100 Седан , 1996",5000$,https://i.cars.kg/preview/r/exjB-UULfmelfb9Rs4X2kg/1080x-/20231210/78d72f73bbbdcb4d61b90d3d9e382575.jpg,"Седан,
                                        белый жемчуг,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,"
"Mitsubishi Galant 8 поколение Седан , 2001",3918$,https://i.cars.kg/preview/r/YpTFElJ8-ffRzgXiw2v-8Q/1080x-/20231211/8f3fbbed446dac04f156ade7fb2eff68.jpg,"Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Kia Rio 3 поколение Седан 4-дв. , 2015",9400$,https://i.cars.kg/preview/r/ButMeypNhTcSqszkLk6gPQ/1080x-/20231121/3e4f99d20b569849cb9cf41f3f08bd70.jpeg,"Седан,
                                        мокрый асфальт,
                                        1.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus GX 2 поколение [рестайлинг] Внедорожник , 2014",45500$,https://i.cars.kg/preview/r/hV5u8xQ92ua5rY36Hu3Y1Q/1080x-/20231123/a5570b7b652ade61d185f18e9f6a678a.jpeg,"Внедорожник / Пикап,
                                        белый,
                                        4.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Hyundai Santa Fe DM Grand кроссовер 5-дв. , 2016",22000$,https://i.cars.kg/preview/r/SOIPCKeLgwF4xtuBx6qZXg/1080x-/20231124/4cadbe53b489af95b035e3206c2ab848.jpeg,"Кроссовер,
                                        темно-синий,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,"
"Toyota RAV4 , 2021",22861$,https://i.cars.kg/preview/r/gyzTumjq-dVxhlILB-3rug/1080x-/20231210/2b80af395091a8734c2aa9c3a13cf6bd.png,"Внедорожник / Пикап,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Toyota Camry , 2023",20880$,https://i.cars.kg/preview/r/WUGa936kq1P438gl8yRw-w/1080x-/20231210/aa425e5b8be46aab0208ff2955432f7c.png,"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Mercedes-Benz B-Класс W245 [рестайлинг] Хетчбэк , 2009",10500$,https://i.cars.kg/preview/r/Q00A2qfwhk4jLeTfnyw7yw/1080x-/20231127/a051166ffefdf3b5a3928082ad8dedc2.jpg,"Хэтчбек,
                                        белый,
                                        1.7 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        передний,"
"ВАЗ (Lada) 2107 1 поколение Седан , 2010",1$,https://i.cars.kg/preview/r/RKnDag0-juSsWaN7VUUN3g/1080x-/20231211/5ef72234e83012d8314dd9ee17f9c7a4.jpg,"Седан,
                                        зеленый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,"
"Honda Elysion 1 поколение [рестайлинг] Минивэн , 2008",12700$,https://i.cars.kg/preview/r/CuVPtU3jdsshiDqjcXponw/1080x-/20231211/cabfcef042cf1dcd7f50c7cec0465b34.jpg,"Минивэн / Бус,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus RX 3 поколение Кроссовер 5-дв. , 2009",20500$,https://i.cars.kg/preview/r/0N0XU1dHZXpIqMePgIfSPg/1080x-/20231211/1db6d93a80b58414375efe66419da6a4.jpg,"Кроссовер,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,"
"Geely MONJARO, 2023",30600$,https://i.cars.kg/preview/r/HKh6zgqcI6g_FHH_bz0yhQ/1080x-/20231211/8fea0a0a82204ac81a249d1e7c295396.jpg,"зеленый,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
,,,
,,,
,,,
,,,
,,,
,,,
"Hyundai Starex , 2018",27200$,https://i.cars.kg/preview/r/KSETTUdRDqGqVDntfcpEzA/1080x-/20230916/bbd418178d42526b68bfbce444e9c544.jpg,"Минивэн / Бус,
                                        серый,
                                                    левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,"
"Kia Morning , 2017",8800$,https://i.cars.kg/preview/r/3u5MT8DLpd933TMoF3GZ_g/1080x-/20231004/b066fd5897b22070288030a905b8f0fe.jpg,"Хэтчбек,
                                        красный,
                                        1.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,"
"Toyota Camry , 2018",19000$,https://i.cars.kg/preview/r/CZ-1i0fD65olwr4ExM2Kig/1080x-/20231115/451d0bdebd6c24c9e820b1c08bef02c1.jpeg,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,"
"Hyundai Sonata , 2018",18$,https://i.cars.kg/preview/r/nmXRDpG6Rc25DUta5WJPlw/1080x-/20231115/a624045a3068387bc93551c8f7617587.jpg,"Седан,
                                        серый,
                                        2.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        задний,"
"Mazda 626 GF Хетчбэк , 1997",5038$,https://i.cars.kg/preview/r/i_a1fU-KM4AhrWW1gphmBg/1080x-/20231204/4124ab2d411232a8811ecfec24932f43.jpg,"Хэтчбек,
                                        темно-синий,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,"
"Lexus ES 5 поколение [рестайлинг] Седан , 2010",17200$,https://i.cars.kg/preview/r/_BR8gs2VUM5cweFMlt1JVA/1080x-/20231112/d9305d08ee8d8b05b61369264ee24c20.jpeg,"Седан,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus ES 6 поколение Седан , 2013",21500$,https://i.cars.kg/preview/r/r7dng87clS6EE1L8bdYexA/1080x-/20231112/87242722e47fea35283bc4835e422e0c.jpeg,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,"
"Honda Accord 7 поколение Седан , 2005",8400$,https://i.cars.kg/preview/r/zOoBbgFHAmTadJ1ciLGd4A/1080x-/20231211/cdd3b978a80f9ab1130f7d3119963af8.jpeg,"Седан,"
"Toyota Mark II X100 Седан , 1996",5000$,https://i.cars.kg/preview/r/exjB-UULfmelfb9Rs4X2kg/1080x-/20231210/78d72f73bbbdcb4d61b90d3d9e382575.jpg,"Седан,
                                        белый жемчуг,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,"
"Mitsubishi Galant 8 поколение Седан , 2001",3918$,https://i.cars.kg/preview/r/YpTFElJ8-ffRzgXiw2v-8Q/1080x-/20231211/8f3fbbed446dac04f156ade7fb2eff68.jpg,"Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Kia Rio 3 поколение Седан 4-дв. , 2015",9400$,https://i.cars.kg/preview/r/ButMeypNhTcSqszkLk6gPQ/1080x-/20231121/3e4f99d20b569849cb9cf41f3f08bd70.jpeg,"Седан,
                                        мокрый асфальт,
                                        1.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus GX 2 поколение [рестайлинг] Внедорожник , 2014",45500$,https://i.cars.kg/preview/r/hV5u8xQ92ua5rY36Hu3Y1Q/1080x-/20231123/a5570b7b652ade61d185f18e9f6a678a.jpeg,"Внедорожник / Пикап,
                                        белый,
                                        4.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Hyundai Santa Fe DM Grand кроссовер 5-дв. , 2016",22000$,https://i.cars.kg/preview/r/SOIPCKeLgwF4xtuBx6qZXg/1080x-/20231124/4cadbe53b489af95b035e3206c2ab848.jpeg,"Кроссовер,
                                        темно-синий,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,"
"Toyota RAV4 , 2021",22861$,https://i.cars.kg/preview/r/gyzTumjq-dVxhlILB-3rug/1080x-/20231210/2b80af395091a8734c2aa9c3a13cf6bd.png,"Внедорожник / Пикап,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Toyota Camry , 2023",20880$,https://i.cars.kg/preview/r/WUGa936kq1P438gl8yRw-w/1080x-/20231210/aa425e5b8be46aab0208ff2955432f7c.png,"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
"Mercedes-Benz B-Класс W245 [рестайлинг] Хетчбэк , 2009",10500$,https://i.cars.kg/preview/r/Q00A2qfwhk4jLeTfnyw7yw/1080x-/20231127/a051166ffefdf3b5a3928082ad8dedc2.jpg,"Хэтчбек,
                                        белый,
                                        1.7 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        передний,"
"ВАЗ (Lada) 2107 1 поколение Седан , 2010",1$,https://i.cars.kg/preview/r/RKnDag0-juSsWaN7VUUN3g/1080x-/20231211/5ef72234e83012d8314dd9ee17f9c7a4.jpg,"Седан,
                                        зеленый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        задний,"
"Honda Elysion 1 поколение [рестайлинг] Минивэн , 2008",12700$,https://i.cars.kg/preview/r/CuVPtU3jdsshiDqjcXponw/1080x-/20231211/cabfcef042cf1dcd7f50c7cec0465b34.jpg,"Минивэн / Бус,
                                        белый,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus RX 3 поколение Кроссовер 5-дв. , 2009",20500$,https://i.cars.kg/preview/r/0N0XU1dHZXpIqMePgIfSPg/1080x-/20231211/1db6d93a80b58414375efe66419da6a4.jpg,"Кроссовер,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,"
"Geely MONJARO, 2023",30600$,https://i.cars.kg/preview/r/HKh6zgqcI6g_FHH_bz0yhQ/1080x-/20231211/8fea0a0a82204ac81a249d1e7c295396.jpg,"зеленый,
                                        2.0 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,"
,,,
,,,
,,,
,,,
,,,
,,,
"Hyundai Starex , 2018",27200$,https://i.cars.kg/preview/r/KSETTUdRDqGqVDntfcpEzA/1080x-/20230916/bbd418178d42526b68bfbce444e9c544.jpg,"Минивэн / Бус,
                                        серый,
                                                    левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,"
"Kia Morning , 2017",8800$,https://i.cars.kg/preview/r/3u5MT8DLpd933TMoF3GZ_g/1080x-/20231004/b066fd5897b22070288030a905b8f0fe.jpg,"Хэтчбек,
                                        красный,
                                        1.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,"
"Toyota Camry , 2018",19000$,https://i.cars.kg/preview/r/CZ-1i0fD65olwr4ExM2Kig/1080x-/20231115/451d0bdebd6c24c9e820b1c08bef02c1.jpeg,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,"
"Hyundai Sonata , 2018",18$,https://i.cars.kg/preview/r/nmXRDpG6Rc25DUta5WJPlw/1080x-/20231115/a624045a3068387bc93551c8f7617587.jpg,"Седан,
                                        серый,
                                        2.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        задний,"
"Mazda 626 GF Хетчбэк , 1997",5038$,https://i.cars.kg/preview/r/i_a1fU-KM4AhrWW1gphmBg/1080x-/20231204/4124ab2d411232a8811ecfec24932f43.jpg,"Хэтчбек,
                                        темно-синий,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,"
"Lexus ES 5 поколение [рестайлинг] Седан , 2010",17200$,https://i.cars.kg/preview/r/_BR8gs2VUM5cweFMlt1JVA/1080x-/20231112/d9305d08ee8d8b05b61369264ee24c20.jpeg,"Седан,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,"
"Lexus ES 6 поколение Седан , 2013",21500$,https://i.cars.kg/preview/r/r7dng87clS6EE1L8bdYexA/1080x-/20231112/87242722e47fea35283bc4835e422e0c.jpeg,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,"
"Honda Accord 7 поколение Седан , 2005",8400$,https://i.cars.kg/preview/r/zOoBbgFHAmTadJ1ciLGd4A/1080x-/20231211/cdd3b978a80f9ab1130f7d3119963af8.jpeg,"Седан,"
"Toyota Mark II X100 Седан , 1996",5000$,https://i.cars.kg/preview/r/exjB-UULfmelfb9Rs4X2kg/1080x-/20231210/78d72f73bbbdcb4d61b90d3d9e382575.jpg,"Седан,
                                        белый жемчуг,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,"
